county,WNS_MAP_YR,WNS_STATUS
Blair-Pennsylvania,2016-17,Absent
Blair-Pennsylvania,2017-18,Absent
Blair-Pennsylvania,2018-19,Absent
Blanco-Texas,2006-07,Absent
Blanco-Texas,2007-08,Absent
Blanco-Texas,2008-09,Absent
Blanco-Texas,2009-10,Absent
Blanco-Texas,2010-11,Absent
Blanco-Texas,2011-12,Absent
Blanco-Texas,2012-13,Absent
Blanco-Texas,2013-14,Absent
Blanco-Texas,2014-15,Absent
Blanco-Texas,2015-16,Absent
Blanco-Texas,2016-17,Absent
Blanco-Texas,2018-19,Absent
Bland-Virginia,2006-07,Absent
Bland-Virginia,2007-08,Absent
Bland-Virginia,2009-10,Absent
Bland-Virginia,2010-11,Absent
Bland-Virginia,2011-12,Absent
Bland-Virginia,2012-13,Absent
Bland-Virginia,2013-14,Absent
Bland-Virginia,2014-15,Absent
Bland-Virginia,2015-16,Absent
Bland-Virginia,2016-17,Absent
Bland-Virginia,2017-18,Absent
Bland-Virginia,2018-19,Absent
Blount-Alabama,2006-07,Absent
Blount-Alabama,2007-08,Absent
Blount-Alabama,2008-09,Absent
Blount-Alabama,2009-10,Absent
Blount-Alabama,2010-11,Absent
Blount-Alabama,2011-12,Absent
Blount-Alabama,2012-13,Absent
Blount-Alabama,2013-14,Absent
Blount-Alabama,2014-15,Absent
Blount-Alabama,2015-16,Absent
Blount-Alabama,2017-18,Absent
Blount-Alabama,2018-19,Absent
Blount-Tennessee,2006-07,Absent
Blount-Tennessee,2007-08,Absent
Blount-Tennessee,2008-09,Absent
Blount-Tennessee,2009-10,Absent
Blount-Tennessee,2010-11,Absent
Blount-Tennessee,2012-13,Absent
Blount-Tennessee,2013-14,Absent
Blount-Tennessee,2014-15,Absent
Blount-Tennessee,2015-16,Absent
Blount-Tennessee,2016-17,Absent
Blount-Tennessee,2017-18,Absent
Blount-Tennessee,2018-19,Absent
Boone-Arkansas,2006-07,Absent
Boone-Arkansas,2007-08,Absent
Boone-Arkansas,2008-09,Absent
Boone-Arkansas,2009-10,Absent
Boone-Arkansas,2010-11,Absent
Boone-Arkansas,2011-12,Absent
Boone-Arkansas,2012-13,Absent
Boone-Arkansas,2013-14,Absent
Boone-Arkansas,2015-16,Absent
Boone-Arkansas,2016-17,Absent
Boone-Arkansas,2017-18,Absent
Boone-Arkansas,2018-19,Absent
Boone-Missouri,2006-07,Absent
Boone-Missouri,2007-08,Absent
Boone-Missouri,2008-09,Absent
Boone-Missouri,2009-10,Absent
Boone-Missouri,2010-11,Absent
Boone-Missouri,2011-12,Absent
Boone-Missouri,2012-13,Absent
Boone-Missouri,2014-15,Absent
Boone-Missouri,2015-16,Absent
Boone-Missouri,2016-17,Absent
Boone-Missouri,2017-18,Absent
Boone-Missouri,2018-19,Absent
Botetourt-Virginia,2006-07,Absent
Botetourt-Virginia,2007-08,Absent
Botetourt-Virginia,2008-09,Absent
Botetourt-Virginia,2009-10,Absent
Botetourt-Virginia,2011-12,Absent
Botetourt-Virginia,2012-13,Absent
Botetourt-Virginia,2013-14,Absent
Botetourt-Virginia,2014-15,Absent
Botetourt-Virginia,2015-16,Absent
Botetourt-Virginia,2016-17,Absent
Botetourt-Virginia,2017-18,Absent
Botetourt-Virginia,2018-19,Absent
Breckinridge-Kentucky,2006-07,Absent
Breckinridge-Kentucky,2007-08,Absent
Breckinridge-Kentucky,2008-09,Absent
Breckinridge-Kentucky,2009-10,Absent
Breckinridge-Kentucky,2010-11,Absent
Breckinridge-Kentucky,2012-13,Absent
Breckinridge-Kentucky,2013-14,Absent
